# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/17/24 13:24:14.972132 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.01810,-0.26509,0.29277 0.26221,-0.19189,0.86218 -0.06900,-0.07050,-0.45900 0.01810,-0.26509,0.29277 0.26221,-0.19189,0.86218 -0.06066,-0.07053,-0.44843 0.08913,-0.08388,-0.04143
06/17/24 13:24:15.015756 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.09262,-0.18418,0.41840 0.16260,-0.30243,0.92511 -0.07800,-0.06750,-0.45300 -0.09262,-0.18418,0.41840 0.16260,-0.30243,0.92511 -0.07571,-0.06767,-0.45283 -0.05761,-0.01497,0.01134
06/17/24 13:24:15.060131 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.37368,-0.12563,0.47376 0.09241,-0.22992,1.06512 -0.08100,-0.07050,-0.45600 0.37368,-0.12563,0.47376 0.09241,-0.22992,1.06512 -0.08021,-0.06827,-0.45640 -0.12459,0.08041,-0.11437
06/17/24 13:24:15.104335 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.35984,0.00639,0.34707 0.33490,-0.07593,1.03748 -0.07800,-0.07500,-0.45900 0.35984,0.00639,0.34707 0.33490,-0.07593,1.03748 -0.07697,-0.07511,-0.45956 0.14864,0.06822,-0.17630
06/17/24 13:24:15.147927 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.35984,-0.30342,-0.20441 0.32800,-0.13300,1.02209 -0.08100,-0.09150,-0.46650 0.35984,-0.30342,-0.20441 0.32800,-0.13300,1.02209 -0.08028,-0.08999,-0.46526 0.11664,0.07021,-0.10487
06/17/24 13:24:15.192361 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -1.04652,-0.58235,-0.43543 0.53198,-0.83698,1.57416 -0.08850,-0.09000,-0.46800 -1.04652,-0.58235,-0.43543 0.53198,-0.83698,1.57416 -0.08577,-0.09116,-0.46336 -0.00803,0.81791,0.39579
06/17/24 13:24:15.236541 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 1.24348,-0.02768,-1.11998 0.28107,-0.79950,0.96442 -0.09750,-0.08250,-0.48000 1.24348,-0.02768,-1.11998 0.28107,-0.79950,0.96442 -0.09627,-0.08198,-0.47939 -0.17739,0.16414,0.51149
06/17/24 13:24:15.280937 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.82827,0.50569,0.19270 -0.48364,-0.51001,0.25476 -0.08550,-0.10950,-0.47700 0.82827,0.50569,0.19270 -0.48364,-0.51001,0.25476 -0.08708,-0.10697,-0.47669 -0.66170,-0.79468,0.28091
06/17/24 13:24:15.325246 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.48973,0.15437,0.86873 0.06982,-0.38696,0.61371 -0.08250,-0.12150,-0.47700 -0.48973,0.15437,0.86873 0.06982,-0.38696,0.61371 -0.08245,-0.12068,-0.47618 -0.15616,-0.32616,0.22981
06/17/24 13:24:15.368954 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.98477,-0.03087,-0.12243 0.62915,-0.45105,0.99078 -0.07650,-0.11400,-0.48600 -0.98477,-0.03087,-0.12243 0.62915,-0.45105,0.99078 -0.07698,-0.11421,-0.48565 0.29984,0.19038,0.27207
06/17/24 13:24:15.413344 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.26509,0.81337,-0.81976 0.22766,-0.42743,0.97955 -0.07350,-0.10350,-0.48900 -0.26509,0.81337,-0.81976 0.22766,-0.42743,0.97955 -0.07394,-0.11001,-0.48518 -0.06190,0.08069,0.14944
06/17/24 13:24:15.457584 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.13947,0.89215,-0.74736 -0.03699,-0.39355,0.79297 -0.05550,-0.10050,-0.49050 0.13947,0.89215,-0.74736 -0.03699,-0.39355,0.79297 -0.05682,-0.10188,-0.49042 -0.23782,-0.15418,0.11436
06/17/24 13:24:15.501293 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.17779,0.59725,-0.75801 -0.10352,-0.25214,0.74878 -0.04050,-0.10350,-0.48900 -0.17779,0.59725,-0.75801 -0.10352,-0.25214,0.74878 -0.04111,-0.10322,-0.48951 -0.23503,-0.23887,-0.01995
06/17/24 13:24:15.545704 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.33323,0.41307,-0.64942 0.01483,-0.25238,0.79999 -0.02850,-0.09450,-0.49200 -0.33323,0.41307,-0.64942 0.01483,-0.25238,0.79999 -0.03134,-0.09434,-0.49187 -0.11393,-0.16879,-0.00221
06/17/24 13:24:15.589454 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.43117,0.18418,-0.78888 0.02948,-0.24109,0.83685 -0.01800,-0.09600,-0.50100 -0.43117,0.18418,-0.78888 0.02948,-0.24109,0.83685 -0.01852,-0.09635,-0.49956 -0.09096,-0.13381,-0.02758
06/17/24 13:24:15.633859 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.40456,0.05962,-0.67177 -0.02979,-0.31274,1.08276 -0.01050,-0.08850,-0.49950 -0.40456,0.05962,-0.67177 -0.02979,-0.31274,1.08276 -0.01189,-0.09023,-0.49917 -0.17053,0.11213,-0.07186
06/17/24 13:24:15.678084 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.11179,0.15224,-0.18205 -0.08911,-0.25854,1.11005 -0.00900,-0.08700,-0.49800 0.11179,0.15224,-0.18205 -0.08911,-0.25854,1.11005 -0.00882,-0.08521,-0.50150 -0.19846,0.11506,-0.15573
06/17/24 13:24:15.721720 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.17460,0.23422,0.05855 0.08795,-0.13947,1.10681 -0.00600,-0.08250,-0.50400 0.17460,0.23422,0.05855 0.08795,-0.13947,1.10681 -0.00572,-0.08395,-0.50394 0.01809,0.10624,-0.16771
06/17/24 13:24:15.766093 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -1.11785,-0.05642,0.29596 -0.08356,-0.67401,1.50421 0.00900,-0.08850,-0.50700 -1.11785,-0.05642,0.29596 -0.08356,-0.67401,1.50421 0.00689,-0.09041,-0.50677 -0.35081,0.61072,0.08030
06/17/24 13:24:15.810225 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.71968,0.41840,0.71010 0.13220,-0.77783,1.11169 0.01200,-0.09000,-0.50250 0.71968,0.41840,0.71010 0.13220,-0.77783,1.11169 0.01125,-0.08946,-0.50304 -0.17361,0.29488,0.38925
06/17/24 13:24:15.853908 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.63984,-0.05217,-0.30129 0.40515,-0.56598,0.34985 0.02400,-0.09900,-0.50850 0.63984,-0.05217,-0.30129 0.40515,-0.56598,0.34985 0.02353,-0.09850,-0.50801 0.14672,-0.46973,0.55151
06/17/24 13:24:15.898336 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.15437,-0.09156,-0.59832 0.06287,-0.30054,0.51129 0.03150,-0.10350,-0.50550 -0.15437,-0.09156,-0.59832 0.06287,-0.30054,0.51129 0.03189,-0.10371,-0.50546 -0.06985,-0.42403,0.13812
06/17/24 13:24:15.942054 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.35878,-0.27467,0.71542 -0.50238,-0.54395,0.98187 0.03600,-0.10350,-0.50100 -0.35878,-0.27467,0.71542 -0.50238,-0.54395,0.98187 0.03575,-0.10319,-0.50151 -0.66262,0.03559,-0.02887
06/17/24 13:24:15.986451 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.03300,-0.90812,1.11785 0.13208,-0.46265,0.83716 0.03300,-0.10950,-0.51150 0.03300,-0.90812,1.11785 0.13208,-0.46265,0.83716 0.03848,-0.10580,-0.50849 -0.03837,-0.05440,0.19155
06/17/24 13:24:16.030651 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.20547,-0.74204,0.74098 0.33002,-0.38611,0.81403 0.02400,-0.11850,-0.51300 0.20547,-0.74204,0.74098 0.33002,-0.38611,0.81403 0.02641,-0.11581,-0.51348 0.13948,-0.06829,0.18193
06/17/24 13:24:16.074347 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.09262,-0.49611,0.77824 0.23730,-0.29816,0.74023 0.01650,-0.12750,-0.51750 0.09262,-0.49611,0.77824 0.23730,-0.29816,0.74023 0.01667,-0.12442,-0.52081 0.07566,-0.17617,0.09349
06/17/24 13:24:16.118708 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.03407,-0.56318,0.63238 0.21454,-0.27325,0.89404 0.01200,-0.12900,-0.52500 -0.03407,-0.56318,0.63238 0.21454,-0.27325,0.89404 0.01890,-0.12479,-0.52451 0.03886,-0.04166,0.00897
06/17/24 13:24:16.162287 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.15543,-0.24486,0.60577 0.23682,-0.19562,0.88843 0.01500,-0.13350,-0.52650 0.15543,-0.24486,0.60577 0.23682,-0.19562,0.88843 0.01595,-0.13305,-0.52611 0.07248,-0.06353,-0.03773
06/17/24 13:24:16.206440 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.21718,-0.03087,0.47482 0.21436,-0.27051,0.94501 0.02550,-0.14100,-0.52350 0.21718,-0.03087,0.47482 0.21436,-0.27051,0.94501 0.01800,-0.13592,-0.52664 0.02691,0.00506,0.03599
06/17/24 13:24:16.250795 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.25338,-0.06281,0.21825 0.16370,-0.18188,0.92059 0.02100,-0.13950,-0.53100 0.25338,-0.06281,0.21825 0.16370,-0.18188,0.92059 0.01809,-0.13910,-0.53001 0.00543,-0.04776,-0.02424
06/17/24 13:24:16.294418 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.08410,-0.12882,0.14159 0.24188,-0.13184,1.11707 0.02250,-0.14100,-0.52950 -0.08410,-0.12882,0.14159 0.24188,-0.13184,1.11707 0.02273,-0.14132,-0.52965 0.07132,0.14438,-0.09508
06/17/24 13:24:16.338835 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.28212,-0.30768,-0.01597 0.39832,-0.56219,1.12476 0.03300,-0.14400,-0.53250 -0.28212,-0.30768,-0.01597 0.39832,-0.56219,1.12476 0.03326,-0.14161,-0.53179 0.09935,0.27110,0.33798
06/17/24 13:24:16.382505 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.32897,-0.40136,-0.46417 0.37427,-0.69104,1.53021 0.02700,-0.12750,-0.53700 0.32897,-0.40136,-0.46417 0.37427,-0.69104,1.53021 0.03069,-0.12910,-0.53468 -0.03704,0.68842,0.32713
06/17/24 13:24:16.426825 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 1.21473,0.03407,-0.59086 0.14636,-0.63080,0.56097 0.03000,-0.13500,-0.52350 1.21473,0.03407,-0.59086 0.14636,-0.63080,0.56097 0.02952,-0.13476,-0.52411 -0.12993,-0.31552,0.49863
06/17/24 13:24:16.471756 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.37900,0.27361,0.80911 -0.31561,-0.48651,0.25494 0.03150,-0.15150,-0.51900 0.37900,0.27361,0.80911 -0.31561,-0.48651,0.25494 0.03207,-0.14934,-0.51972 -0.47265,-0.74182,0.33354
