# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/13/24 12:33:12.323535 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.01171,0.00213,0.02342 0.12994,-0.25031,0.95239 0.13650,0.31350,-0.38850 0.01171,0.00213,0.02342 0.12994,-0.25031,0.95239 0.13899,0.31216,-0.39029 0.00590,-0.02414,-0.18508
06/13/24 12:33:12.362258 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.02768,0.00958,-0.00106 0.13910,-0.23285,0.94507 0.14400,0.30600,-0.38850 0.02768,0.00958,-0.00106 0.13910,-0.23285,0.94507 0.14051,0.31039,-0.39034 0.00942,-0.03093,-0.16595
06/13/24 12:33:12.405922 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.03407,0.00958,0.00745 0.12915,-0.24530,0.95459 0.13200,0.30150,-0.38850 0.03407,0.00958,0.00745 0.12915,-0.24530,0.95459 0.13634,0.30212,-0.38997 0.00893,-0.02309,-0.18348
06/13/24 12:33:12.444530 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.04365,0.01916,0.03087 0.12067,-0.22687,0.95837 0.13650,0.31050,-0.39000 0.04365,0.01916,0.03087 0.12067,-0.22687,0.95837 0.13594,0.30862,-0.38940 0.02732,-0.02423,-0.17789
06/13/24 12:33:12.488662 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.08517,-0.01490,0.07985 0.09137,-0.21735,0.96930 0.14100,0.30300,-0.38700 0.08517,-0.01490,0.07985 0.09137,-0.21735,0.96930 0.14279,0.30363,-0.39063 0.05370,-0.02301,-0.19428
06/13/24 12:33:12.527000 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.06814,0.03300,0.12882 0.08630,-0.18872,1.00879 0.14250,0.30750,-0.38850 0.06814,0.03300,0.12882 0.08630,-0.18872,1.00879 0.14574,0.30478,-0.38832 0.08555,0.00989,-0.18307
06/13/24 12:33:12.570954 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.09795,0.22144,0.24060 0.12573,-0.23096,1.00995 0.14400,0.30300,-0.39150 0.09795,0.22144,0.24060 0.12573,-0.23096,1.00995 0.14525,0.30409,-0.39021 0.02320,0.02783,-0.17936
06/13/24 12:33:12.609205 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.11285,0.29916,0.21399 0.16406,-0.28125,0.96704 0.14400,0.30000,-0.39000 0.11285,0.29916,0.21399 0.16406,-0.28125,0.96704 0.14805,0.30169,-0.38742 -0.05958,0.00354,-0.17479
06/13/24 12:33:12.653144 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.27361,0.33003,0.12243 0.10071,-0.26440,0.93829 0.14850,0.28950,-0.38700 0.27361,0.33003,0.12243 0.10071,-0.26440,0.93829 0.14841,0.29281,-0.38810 -0.03017,-0.04126,-0.20086
06/13/24 12:33:12.691369 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.25444,0.19163,0.13308 0.01154,-0.25439,0.92743 0.15750,0.28950,-0.38100 0.25444,0.19163,0.13308 0.01154,-0.25439,0.92743 0.15721,0.29033,-0.38193 0.01804,-0.07335,-0.25683
