# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/24/24 13:44:22.664553 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.21718,-0.05855,-0.42798 -0.16840,-0.11053,1.01324 0.09300,0.25950,-0.48300 -0.21718,-0.05855,-0.42798 -0.16840,-0.11053,1.01324 0.12205,0.23588,-0.48329 0.02363,0.03211,-0.03773
06/24/24 13:44:22.708759 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.22144,-0.08517,-0.04258 -0.25031,-0.17969,1.01862 0.09000,0.26250,-0.48000 -0.22144,-0.08517,-0.04258 -0.25031,-0.17969,1.01862 0.09052,0.26060,-0.48038 0.09723,0.05460,-0.10434
06/24/24 13:44:22.752443 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.08517,-0.01384,0.06068 -0.25165,-0.18964,1.07874 0.09300,0.26700,-0.48150 -0.08517,-0.01384,0.06068 -0.25165,-0.18964,1.07874 0.09224,0.26622,-0.48161 0.09368,0.11525,-0.10200
06/24/24 13:44:22.796829 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.08517,0.08836,0.15756 -0.23785,-0.23358,1.11719 0.09150,0.27000,-0.47550 0.08517,0.08836,0.15756 -0.23785,-0.23358,1.11719 0.09104,0.26829,-0.47739 0.06359,0.15570,-0.13981
06/24/24 13:44:22.841086 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.06601,0.16608,0.28319 -0.20728,-0.28711,1.02917 0.09600,0.26250,-0.48000 0.06601,0.16608,0.28319 -0.20728,-0.28711,1.02917 0.09726,0.26248,-0.48094 0.02293,0.06892,-0.20367
06/24/24 13:44:22.884699 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.26296,-0.01490,-0.00106 -0.14569,-0.25311,0.87518 0.10950,0.26400,-0.47550 0.26296,-0.01490,-0.00106 -0.14569,-0.25311,0.87518 0.10584,0.26271,-0.47743 -0.01397,-0.09398,-0.17369
06/24/24 13:44:22.929575 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.19695,0.03939,-0.27254 -0.14355,-0.23120,0.82910 0.10500,0.25800,-0.48750 0.19695,0.03939,-0.27254 -0.14355,-0.23120,0.82910 0.10435,0.25694,-0.48337 -0.00597,-0.14300,-0.16427
06/24/24 13:44:22.973232 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.03939,0.16821,-0.33536 -0.19836,-0.29474,0.88513 0.09900,0.25350,-0.49050 0.03939,0.16821,-0.33536 -0.19836,-0.29474,0.88513 0.09924,0.25425,-0.49010 0.02894,-0.07300,-0.22252
06/24/24 13:44:23.017670 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.06601,0.26403,-0.37368 -0.20660,-0.33960,0.88782 0.10650,0.25500,-0.47850 -0.06601,0.26403,-0.37368 -0.20660,-0.33960,0.88782 0.10534,0.25569,-0.48191 0.02399,-0.05773,-0.24037
06/24/24 13:44:23.061947 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.04365,0.25551,-0.57596 -0.21783,-0.35504,0.94720 0.09900,0.26550,-0.48750 0.04365,0.25551,-0.57596 -0.21783,-0.35504,0.94720 0.09906,0.26409,-0.48811 0.01958,0.00788,-0.23343
